Invoice ID,Branch,City,Customer type,Gender,Número da Fatura,Filial,Cidade,Tipo de Cliente,Gênero,Linha de Produto,Preço Unitário,Quantidade,Imposto 5%,Total,Data,Hora,Pagamento,COGS,Percentual de Margem Bruta,Renda Bruta,Classificação,,,
0,750-67-8428,A,São Paulo,Membro,Feminino,Saúde e beleza,74,69,7,26,1415,548,9715,1/5/2019,13:08,Carteira digital,522,83,4,761904762,26,1415,9,1
1,226-31-3081,C,Rio de Janeiro,Normal,Feminino,Acessórios eletrônicos,15,28,5,3,82,80,22,3/8/2019,10:29,Dinheiro,76,4,4,761904762,3,82,9,6
2,631-41-3108,A,São Paulo,Normal,Masculino,Casa e estilo de vida,46,33,7,16,2155,340,5255,3/3/2019,13:23,Cartão de crédito,324,31,4,761904762,16,2155,7,4
3,123-19-1176,A,São Paulo,Membro,Masculino,Saúde e beleza,58,22,8,23,288,489,48,1/27/2019,20:33,Carteira digital,465,76,4,761904762,23,288,8,4
4,373-73-7910,A,São Paulo,Normal,Masculino,Esportes e viagens,86,31,7,30,2085,634,3785,2/8/2019,10:37,Carteira digital,604,17,4,761904762,30,2085,5,3
5,699-14-3026,C,Rio de Janeiro,Normal,Masculino,Acessórios eletrônicos,85,39,7,29,8865,627,6165,3/25/2019,18:30,Carteira digital,597,73,4,761904762,29,8865,4,1
6,355-53-5943,A,São Paulo,Membro,Feminino,Acessórios eletrônicos,68,84,6,20,652,433,692,2/25/2019,14:36,Carteira digital,413,4,4,761904762,20,652,5,8
7,315-22-5665,C,Rio de Janeiro,Normal,Feminino,Casa e estilo de vida,73,56,10,36,78,772,38,2/24/2019,11:38,Carteira digital,735,6,4,761904762,36,78,8,0
8,665-32-9167,A,São Paulo,Membro,Feminino,Saúde e beleza,36,26,2,3,626,76,146,1/10/2019,17:15,Cartão de crédito,72,52,4,761904762,3,626,7,2
9,692-92-5582,B,Brasília,Membro,Feminino,Alimentos e bebidas,54,84,3,8,226,172,746,2/20/2019,13:27,Cartão de crédito,164,52,4,761904762,8,226,5,9
10,351-62-0822,B,Brasília,Membro,Feminino,Moda e acessórios,14,48,4,2,896,60,816,2/6/2019,18:07,Carteira digital,57,92,4,761904762,2,896,4,5
11,529-56-3974,B,Brasília,Membro,Masculino,Acessórios eletrônicos,25,51,4,5,102,107,142,3/9/2019,17:03,Dinheiro,102,4,4,761904762,5,102,6,8
12,365-64-0515,A,São Paulo,Normal,Feminino,Acessórios eletrônicos,46,95,5,11,7375,246,4875,2/12/2019,10:25,Carteira digital,234,75,4,761904762,11,7375,7,1
13,252-56-2699,A,São Paulo,Normal,Masculino,Alimentos e bebidas,43,19,10,21,595,453,495,2/7/2019,16:48,Carteira digital,431,9,4,761904762,21,595,8,2
14,829-34-3910,A,São Paulo,Normal,Feminino,Saúde e beleza,71,38,10,35,69,749,49,3/29/2019,19:21,Dinheiro,713,8,4,761904762,35,69,5,7
15,299-46-1805,B,Brasília,Membro,Feminino,Esportes e viagens,93,72,6,28,116,590,436,1/15/2019,16:19,Dinheiro,562,32,4,761904762,28,116,4,5
16,656-95-9349,A,São Paulo,Membro,Feminino,Saúde e beleza,68,93,7,24,1255,506,6355,3/11/2019,11:03,Cartão de crédito,482,51,4,761904762,24,1255,4,6
17,765-26-6951,A,São Paulo,Normal,Masculino,Esportes e viagens,72,61,6,21,783,457,443,1/1/2019,10:39,Cartão de crédito,435,66,4,761904762,21,783,6,9
18,329-62-1586,A,São Paulo,Normal,Masculino,Alimentos e bebidas,54,67,3,8,2005,172,2105,1/21/2019,18:00,Cartão de crédito,164,1,4,761904762,8,2005,8,6
19,319-50-3348,B,Brasília,Normal,Feminino,Casa e estilo de vida,40,3,2,4,3,84,63,3/11/2019,15:30,Carteira digital,80,6,4,761904762,4,3,4,4
20,300-71-4605,C,Rio de Janeiro,Membro,Masculino,Acessórios eletrônicos,86,4,5,21,51,451,71,2/25/2019,11:24,Carteira digital,430,2,4,761904762,21,51,4,8
